SPORT;FAMILLE_PRODUIT;CODE;DESCRIPTION;QTY_1;QTY_5;QTY_10;QTY_20;QTY_50;QTY_100;QTY_250;QTY_500;GRAMMAGE;TISSU;GENRE;TITRE_VENDEUR;FINITION;ETIQUETTES;REFERENCE_FLARE;DESCRIPTION_SEO;PHOTO_1;PHOTO_2;PHOTO_3;PHOTO_4;PHOTO_5;URL
SPORTSWEAR;Polo;SW23_POLOMMC100;Polo MC MILANO 140 ECO col tissu homme;37.25;33.52;31.66;27.94;26.07;22.35;18.62;14.9;140 gr/m²;Premium Jersey  ;Homme;Polo Manches Courtes - Premium Jersey 140 ECO Homme;Manches Courtes, Col Tissu;ÉCO, Doux;FLARE-SPWPOLH-000;"- Tissu Premium Jersey 140 haute qualité
- Col tissu classique et élégant
- Manches courtes pour une liberté de mouvement totale
- Coupe confortable adaptée à  toutes morphologies
- Fabrication éco-responsable matériaux recyclés";https://flare-custom.com/photos/produits/FLARE-SPWPOLH-000-1.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-000-2.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-000-3.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-000-4.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-000-5.webp;https://flare-custom.com/produits/polo-sport-140g-jersey-homme-personnalise
SPORTSWEAR;Polo;SW23_POLOFMC100;Polo MC MILANO 140 ECO col tissu femme;37.25;33.52;31.66;27.94;26.07;22.35;18.62;14.9;140 gr/m²;Premium Jersey  ;Femme;Polo Manches Courtes - Premium Jersey 140 ECO Femme;Manches Courtes, Col Tissu;ÉCO, Doux;FLARE-SPWPOLF-001;"- Tissu Premium Jersey 140 haute qualité
- Col tissu classique et élégant
- Manches courtes pour une liberté de mouvement totale
- Coupe confortable adaptée à  toutes morphologies
- Fabrication éco-responsable matériaux recyclés";https://flare-custom.com/photos/produits/FLARE-SPWPOLF-001-1.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-001-2.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-001-3.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-001-4.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-001-5.webp;https://flare-custom.com/produits/polo-sport-140g-jersey-femme-personnalise
SPORTSWEAR;Polo;SW23_PRO_POLOMMC100_2;Polo MC MILANO 140 ECO col bord côte homme;41.25;37.12;35.06;30.94;28.87;24.75;20.62;16.5;140 gr/m²;Premium Jersey  ;Homme;Polo Premium Manches Courtes Milano Col Bord Côte - Premium Jersey 140 ECO Homme;Manches Courtes, Col Bord Côte;ÉCO, Doux;FLARE-SPWPOLH-002;"- Tissu Premium Jersey 140 haute qualité
- Col bord côte pour un ajustement optimal
- Manches courtes pour une liberté de mouvement totale
- Coupe confortable adaptée à  toutes morphologies
- Fabrication éco-responsable matériaux recyclés";https://flare-custom.com/photos/produits/FLARE-SPWPOLH-002-1.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-002-2.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-002-3.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-002-4.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-002-5.webp;https://flare-custom.com/produits/polo-sport-140g-jersey-homme-personnalise-2
SPORTSWEAR;Polo;SW23_PRO_POLOFMC100_2;Polo MC MILANO 140 ECO col bord côte femme;41.25;37.12;35.06;30.94;28.87;24.75;20.62;16.5;140 gr/m²;Premium Jersey  ;Femme;Polo Premium Manches Courtes Milano Col Bord Côte - Premium Jersey 140 ECO Femme;Manches Courtes, Col Bord Côte;ÉCO, Doux;FLARE-SPWPOLF-003;"- Tissu Premium Jersey 140 haute qualité
- Col bord côte pour un ajustement optimal
- Manches courtes pour une liberté de mouvement totale
- Coupe confortable adaptée à  toutes morphologies
- Fabrication éco-responsable matériaux recyclés";https://flare-custom.com/photos/produits/FLARE-SPWPOLF-003-1.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-003-2.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-003-3.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-003-4.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-003-5.webp;https://flare-custom.com/produits/polo-sport-140g-jersey-femme-personnalise-2
SPORTSWEAR;Polo;SW23_POLOMMC100_PIQUE;Polo MC PIQUE 210 ECO col tissu homme;41.25;37.12;35.06;30.94;28.87;24.75;20.62;16.5;210 gr/m²;Premium Piqué  ;Homme;Polo Manches Courtes - Premium Piqué 210 ECO Homme;Manches Courtes, Col Tissu;ÉCO, Texturé;FLARE-SPWPOLH-004;"- Tissu Premium Piqué 210 haute qualité
- Col tissu classique et élégant
- Manches courtes pour une liberté de mouvement totale
- Texture piqué respirante et structurée
- Coupe confortable adaptée à  toutes morphologies
- Fabrication éco-responsable matériaux recyclés";https://flare-custom.com/photos/produits/FLARE-SPWPOLH-004-1.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-004-2.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-004-3.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-004-4.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-004-5.webp;https://flare-custom.com/produits/polo-sport-210g-pique-homme-personnalise
SPORTSWEAR;Polo;SW23_POLOFMC100_PIQUE;Polo MC PIQUE 210 ECO col tissu femme;41.25;37.12;35.06;30.94;28.87;24.75;20.62;16.5;210 gr/m²;Premium Piqué  ;Femme;Polo Manches Courtes - Premium Piqué 210 ECO Femme;Manches Courtes, Col Tissu;ÉCO, Texturé;FLARE-SPWPOLF-005;"- Tissu Premium Piqué 210 haute qualité
- Col tissu classique et élégant
- Manches courtes pour une liberté de mouvement totale
- Texture piqué respirante et structurée
- Coupe confortable adaptée à  toutes morphologies
- Fabrication éco-responsable matériaux recyclés";https://flare-custom.com/photos/produits/FLARE-SPWPOLF-005-1.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-005-2.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-005-3.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-005-4.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-005-5.webp;https://flare-custom.com/produits/polo-sport-210g-pique-femme-personnalise
SPORTSWEAR;Polo;SW23_PRO_POLOMMC100_PIQUE;Polo MC PIQUE 210 ECO col bord côte homme;44.75;40.27;38.04;33.56;31.32;26.85;22.38;17.9;210 gr/m²;Premium Piqué  ;Homme;Polo Premium Manches Courtes Piqué Col Bord Côte - Premium Piqué 210 ECO Homme;Manches Courtes, Col Bord Côte;ÉCO, Texturé;FLARE-SPWPOLH-006;"- Tissu Premium Piqué 210 haute qualité
- Col bord côte pour un ajustement optimal
- Manches courtes pour une liberté de mouvement totale
- Texture piqué respirante et structurée
- Coupe confortable adaptée à  toutes morphologies
- Fabrication éco-responsable matériaux recyclés";https://flare-custom.com/photos/produits/FLARE-SPWPOLH-006-1.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-006-2.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-006-3.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-006-4.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-006-5.webp;https://flare-custom.com/produits/polo-sport-210g-pique-homme-personnalise-2
SPORTSWEAR;Polo;SW23_PRO_POLOFMC100_PIQUE;Polo MC PIQUE 210 ECO col bord côte femme;44.75;40.27;38.04;33.56;31.32;26.85;22.38;17.9;210 gr/m²;Premium Piqué  ;Femme;Polo Premium Manches Courtes Piqué Col Bord Côte - Premium Piqué 210 ECO Femme;Manches Courtes, Col Bord Côte;ÉCO, Texturé;FLARE-SPWPOLF-007;"- Tissu Premium Piqué 210 haute qualité
- Col bord côte pour un ajustement optimal
- Manches courtes pour une liberté de mouvement totale
- Texture piqué respirante et structurée
- Coupe confortable adaptée à  toutes morphologies
- Fabrication éco-responsable matériaux recyclés";https://flare-custom.com/photos/produits/FLARE-SPWPOLF-007-1.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-007-2.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-007-3.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-007-4.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-007-5.webp;https://flare-custom.com/produits/polo-sport-210g-pique-femme-personnalise-2
SPORTSWEAR;Polo;SW23_POLOMML100;Polo ML MILANO 140 ECO col tissu homme;42.25;38.02;35.91;31.69;29.57;25.35;21.12;16.9;140 gr/m²;Premium Jersey  ;Homme;Polo Manches Longues - Premium Jersey 140 ECO Homme;Manches Longues, Col Tissu;ÉCO, Doux;FLARE-SPWPOLH-008;"- Tissu Premium Jersey 140 haute qualité
- Col tissu classique et élégant
- Manches longues pour une protection optimale
- Coupe confortable adaptée à  toutes morphologies
- Fabrication éco-responsable matériaux recyclés";https://flare-custom.com/photos/produits/FLARE-SPWPOLH-008-1.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-008-2.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-008-3.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-008-4.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLH-008-5.webp;https://flare-custom.com/produits/polo-sport-ml-140g-jersey-homme-personnalise
SPORTSWEAR;Polo;SW23_POLOFML100;Polo ML MILANO 140 ECO col tissu femme;42.25;38.02;35.91;31.69;29.57;25.35;21.12;16.9;140 gr/m²;Premium Jersey  ;Femme;Polo Manches Longues - Premium Jersey 140 ECO Femme;Manches Longues, Col Tissu;ÉCO, Doux;FLARE-SPWPOLF-009;"- Tissu Premium Jersey 140 haute qualité
- Col tissu classique et élégant
- Manches longues pour une protection optimale
- Coupe confortable adaptée à  toutes morphologies
- Fabrication éco-responsable matériaux recyclés";https://flare-custom.com/photos/produits/FLARE-SPWPOLF-009-1.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-009-2.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-009-3.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-009-4.webp;https://flare-custom.com/photos/produits/FLARE-SPWPOLF-009-5.webp;https://flare-custom.com/produits/polo-sport-ml-140g-jersey-femme-personnalise
